workunit,swathpolygon_link
KS_Statewide_B17_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B17_2018/spatial_metadata/USGS/USGS_KS_B17_Swath_Poly/KS_Stwide_B17_Swath_Poly_Blk1A.shp
KS_Statewide_B15_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B15_2018/spatial_metadata/USGS/USGS_KS_Statewide_B15_2018_Swath_Poly.shp
KS_Statewide_B14_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B14_2018/spatial_metadata/USGS/KS_Statewide_B14_2018_SWATH_POLY.shp
KS_Statewide_B16_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B16_2018/spatial_metadata/USGS/USGS_KS_Statewide_B16_2018_Swath_Poly.shp
KS_Statewide_B5_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B5_2018/spatial_metadata/USGS/KS_Statewide_B5_2018_SWATH_POLY.shp
KS_Statewide_B6A_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B6A_2018/spatial_metadata/USGS/USGS_KS_Statewide_B6A_2018_SwathPoly.shp
KS_Statewide_B18_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B18_2018/spatial_metadata/USGS/USGS_KS_Statewide_B18_2018_SWATH_POLY.shp
LA_Catahoula_Concordia_2_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/LA_Catahoula_Concordia_2017_D17/LA_Catahoula_Concordia_2_2017/spatial_metadata/USGS/USGS_LA_Catahoula_Concordia_2_2017_Swath_Poly/USGS_LA_Catahoula_Concordia_2_2017_Swath_Poly.shp
KS_Statewide_B8A_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B8A_2018/spatial_metadata/USGS/USGS_KS_Statewide_B8A_2018_SWATH_POLY.shp
HI_Hawaii_Island_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/HI_Hawaii_Island_Lidar_NOAA_2017_B17/HI_Hawaii_Island_2017/spatial_metadata/USGS/USGS_HI_Hawaii_Island_2017_Swath_Poly.shp
LA_Sabine_River_Lidar_A6_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/LA_Sabine_River_Lidar_2018_D18/LA_Sabine_River_Lidar_A6_2018/spatial_metadata/USGS/USGS_LA_Sabine_River_Lidar_A6_2018_Swath_Poly.shp
LA_Sabine_River_Lidar_A1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/LA_Sabine_River_Lidar_2018_D18/LA_Sabine_River_Lidar_A1_2018/spatial_metadata/USGS/USGS_LA_Sabine_River_Lidar_A1_2018_SwathPoly.shp
MS_MississippiDelta_A1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/MS_Central_Delta_2018_D18/MS_MississippiDelta_A1_2018/spatial_metadata/USGS/USGS_MS_MississippiDelta_A1_2018_Swath_Poly.shp
MS_MississippiDelta_3_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/MS_Central_Delta_2018_D18/MS_MississippiDelta_3_2018/spatial_metadata/USGS/USGS_MS_MississippiDelta_3_2018_SwathPoly.shp
KS_Statewide_B6B_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B6B_2018/spatial_metadata/USGS/USGS_KS_Statewide_B6B_2018_SwathPoly.shp
NM_MRCOG_B1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/NM_MRCOG_2018_C20/NM_MRCOG_B1_2018/spatial_metadata/USGS/USGS_NM_MRCOG_B1_2018_SWATH_POLY.shp
IN_Statewide_Opt2_B6_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/IN_Indiana_Statewide_LiDAR_2017_B17/IN_Statewide_Opt2_B6_2017/spatial_metadata/USGS/USGS_IN_Statewide_Opt2_B6_Swath_Poly.shp
KS_Statewide_B9_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B9_2018/spatial_metadata/USGS/USGS_KS_Statewide_B9_2018_Swath_Poly.shp
CO_Eastern_B1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/CO_EasternColorado_2018_A18/CO_Eastern_B1_2018/spatial_metadata/USGS/USGS_CO_Eastern_B1_2018_Swath_Poly.shp
KS_Statewide_B10_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B10_2018/spatial_metadata/USGS/USGS_KS_Statewide_B10_2018_SWATH_POLY.shp
CO_Eastern_B5_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/CO_EasternColorado_2018_A18/CO_Eastern_B5_2018/spatial_metadata/USGS/USGS_CO_Eastern_B5_2018_Swath_Poly.shp
CO_Eastern_B2_QL2_North_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/CO_EasternColorado_2018_A18/CO_Eastern_B2_QL2_North_2018/spatial_metadata/USGS/USGS_CO_Eastern_B2_QL2_North_2018_Swath_Poly.shp
CO_Eastern_North_Priority_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/CO_EasternColorado_2018_A18/CO_Eastern_North_Priority_2018/spatial_metadata/USGS/USGS_CO_Eastern_North_Priority_2018_SWATH_POLY.shp
CO_Eastern_B2_QL2_Central_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/CO_EasternColorado_2018_A18/CO_Eastern_B2_QL2_Central_2018/spatial_metadata/USGS/USGS_CO_Eastern_B2_QL2_Central_2018_Swath_Poly.shp
ME_CrownofMaine_B2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/ME_CrownofMaine_2018_A18/ME_CrownofMaine_B2_2018/spatial_metadata/USGS/USGS_ME_CrownofMaine_B2_2018_Swath_Poly.shp
SD_Southwest_B4_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/SD_Southwest_NRCS_SD_2018_D18/SD_Southwest_B4_2018/spatial_metadata/USGS/USGS_SD_Southwest_B4_2018_SwathPoly.shp
CO_Southwest_NRCS_B3_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/CO_Southwest_NRCS_2018_D18/CO_Southwest_NRCS_B3_2018/spatial_metadata/USGS/USGS_CO_Southwest_NRCS_B3_2018__Swath_Poly.shp
LA_NortheastDOTD_4_2017,s3://prd-tnm/StagedProducts/Elevation/metadata/LA_NortheastDOTD_2017_C20/LA_NortheastDOTD_4_2017/spatial_metadata/USGS/Swath_Polygon/USGS_Flightline_Index_16SE.shp
CO_Southwest_NRCS_B2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/CO_Southwest_NRCS_2018_D18/CO_Southwest_NRCS_B2_2018/spatial_metadata/USGS/USGS_CO_Southwest_NRCS_B2_2018_Swath_Poly.shp
WA_FEMAHQ_B1_QL2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/WA_FEMAHQ_2018_D18/WA_FEMAHQ_B1_QL2_2018/spatial_metadata/USGS/USGS_WA_FEMAHQ_B1_QL2_2018_Swath_Poly.shp
WV_FEMAHQ_B3_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/WV_FEMAHQ_2018_D18/WV_FEMAHQ_B3_2018/spatial_metadata/USGS/USGS_WV_FEMAHQ_B3_2018_Swath_Poly.shp
NM_SouthEast_B8_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/NM_SouthEast_2018_D19/NM_SouthEast_B8_2018/spatial_metadata/USGS/USGS_NM_SouthEast_B8_2018 _Swath_Poly.shp
WV_FEMAR3_Southcentral_B3_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/WV_FEMAR3_Southcentral_2018_D19/WV_FEMAR3_Southcentral_B3_2018/spatial_metadata/USGS/USGS_WV_FEMAR3_Southcentral_B3_2018_Swath_Poly_partA.shp
NM_SouthEast_B2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/NM_SouthEast_2018_D19/NM_SouthEast_B2_2018/spatial_metadata/USGS/USGS_NM_SouthEast_B2_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Union_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Union_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Union_2018_Swath_Poly.shp
KS_Statewide_B2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B2_2018/spatial_metadata/USGS/USGS_KS_Statewide_B2_2018_Swath_Poly.shp
GA_Statewide_B7_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_B7_2018/spatial_metadata/USGS/USGS_GA_Statewide_7_2018_Swath_Poly/USGS_GA_Statewide_7_2018_Swath_Poly.shp
GA_Statewide_B8_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_B8_2018/spatial_metadata/USGS/USGS_GA_Statewide_8_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Baker_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Baker_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Baker_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Clay_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Clay_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Clay_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Duval_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Duval_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Duval_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Bradford_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Bradford_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Bradford_2018_Swath_Poly.shp
GA_Statewide_B6_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_B6_2018/spatial_metadata/USGS/USGS_GA_Statewide_6_2018_SWATH_POLY.shp
FL_Peninsular_FDEM_StJohns_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_StJohns_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_StJohns_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Desoto_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Desoto_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Desoto_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Sarasota_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Sarasota_2018/spatial_metadata/USGS/FL_Peninsular_FDEM_Sarasota_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Hardee_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Hardee_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Hardee_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Polk_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Polk_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Polk_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Manatee_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Manatee_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Manatee_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Orange_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Orange_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Orange_2018_Swath_Poly.shp
FL_Peninsular_Volusia_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Volusia_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Volusia_2018_Swath_Poly.shp
FL_Peninsular_Seminole_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Seminole_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Seminole_2018_Swath_Poly.shp
FL_Peninsular_Marion_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Marion_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Marion_2018_Swath_Poly.shp
FL_Peninsular_Lake_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Lake_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Lake_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Gilchrist_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Gilchrist_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Gilchrist_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Alachua_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Alachua_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Alachua_2018_Swath_Poly.shp
GA_Statewide_9_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_9_2018/spatial_metadata/USGS/USGS_GA_Statewide_9_2018_Swath_Poly.shp
FL_Peninsular_Levy_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Levy_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Levy_2018_Swath_Poly.shp
NM_SouthEast_B3_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/NM_SouthEast_2018_D19/NM_SouthEast_B3_2018/spatial_metadata/USGS/USGS_NM_SouthEast_B3_2018_SWATH_POLY.shp
FL_Peninsular_FDEM_Charlotte_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Charlotte_2018/spatial_metadata/USGS/FL_Peninsular_FDEM_Charlotte_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Highlands_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Highlands_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Highlands_2018_Swath_Poly.shp
FL_Peninsular_Citrus_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Citrus_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Citrus_2018_Swath_Poly.shp
WV_FEMAR3_Southcentral_B1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/WV_FEMAR3_Southcentral_2018_D19/WV_FEMAR3_Southcentral_B1_2018/spatial_metadata/USGS/USGS_WV_FEMAR3_Southcentral_B1_2018_Swath_Poly.shp
VA_UpperMiddleNeckQL2_B2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/VA_UpperMiddleNeck_2018_D18/VA_UpperMiddleNeckQL2_B2_2018/spatial_metadata/USGS/USGS_VA_UpperMiddleNeckQL2_B2_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Osceola_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Osceola_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Osceola_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Brevard_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Brevard_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Brevard_2018_Swath_Poly.shp
FL_Peninsular_Pinellas_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Pinellas_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Pinellas_2018_Swath_Poly.shp
WV_FEMAHQ_B2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/WV_FEMAHQ_2018_D18/WV_FEMAHQ_B2_2018/spatial_metadata/USGS/USGS_WV_FEMAHQ_B2_Swath_Poly.shp
KS_Statewide_B7_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_Statewide_2018_A18/KS_Statewide_B7_2018/spatial_metadata/USGS/USGS_KS_Statewide_B7_Swath_Poly/USGS_KS_Statewide_B7_Swath_Poly.shp
FL_Peninsular_FDEM_Hendry_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Hendry_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Hendry_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Glades_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Glades_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Glades_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Martin_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Martin_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Martin_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Okeechobee_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Okeechobee_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Okeechobee_2018_Swath_Poly.shp
FL_Peninsular_FDEM_StLucie_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_StLucie_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_StLucie_2018_Swath_Poly.shp
FL_Peninsular_FDEM_Collier_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_Collier_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_Collier_2018_Swath_Poly.shp
KS_StatewideFordGray_1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/KS_StatewideFordGray_2018_A18/KS_StatewideFordGray_1_2018/spatial_metadata/USGS/USGS_KS_Statewide_B3_2018_Swath_Poly/KS_Statewide_B3_2018_Swath_Poly.shp
FL_Peninsular_Flagler_2019,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Flagler_2019/spatial_metadata/USGS/USGS_FL_Peninsular_Flagler_2019_Swath_Poly.shp
FL_Peninsular_Putnam_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_2018_D18/FL_Peninsular_Putnam_2018/spatial_metadata/USGS/USGS_FL_Peninsular_Putnam_2018_Swath_Poly.shp
NY_FEMAR2_Central_B1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/NY_FEMAR2_Central_2018_D19/NY_FEMAR2_Central_B1_2018/spatial_metadata/USGS/USGS_NY_FEMAR2_B1_2018_Swath_Poly.shp
FL_Peninsular_FDEM_PalmBeach_2019,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_PalmBeach_2019/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_PalmBeach_2019_Swath_Poly.shp
TX_Hurricane_B5_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/TX_Hurricane_2018_D18_SUPPLEMENTAL_DRRA/TX_Hurricane_B5_2018/spatial_metadata/USGS/USGS_TX_Hurricane_B5_2018_Swath_Poly.shp
OK_Panhandle_B1A_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/OK_Panhandle_2018_D18/OK_Panhandle_B1A_2018/spatial_metadata/USGS/USGS_OK_Panhandle_B1A_2018_Swath_Poly_UTM13N.shp
FL_Peninsular_FDEM_IndianRiver_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/FL_Peninsular_FDEM_2018_D19_DRRA/FL_Peninsular_FDEM_IndianRiver_2018/spatial_metadata/USGS/USGS_FL_Peninsular_FDEM_IndianRiver_2018_Swath_Poly.shp
TX_Pecos_Dallas_B2b_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/TX_Pecos_Dallas_2018_D19/TX_Pecos_Dallas_B2b_2018/spatial_metadata/USGS/USGS_TX_Pecos_Dallas_B2b_2018_Swath_Poly.shp
GA_Statewide_11_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_11_2018/spatial_metadata/USGS/USGS_GA_Statewide_11_2018_Swath_Poly.shp
TX_Pecos_Dallas_B1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/TX_Pecos_Dallas_2018_D19/TX_Pecos_Dallas_B1_2018/spatial_metadata/USGS/USGS_TX_Pecos_Dallas_B1_2018_Swath_Poly.shp
MS_MississippiDelta_A2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/MS_Central_Delta_2018_D18/MS_MississippiDelta_A2_2018/spatial_metadata/USGS/USGS_MS_MississippiDelta_A2_2018_SWATH_POLY.shp
GA_Statewide_B1_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_B1_2018/spatial_metadata/USGS/USGS_GA_Statewide_B1_2018_Swath_Poly.shp
GA_Statewide_B2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_B2_2018/spatial_metadata/USGS/USGS_GA_Statewide_B2_2018_Swath_Poly.shp
OK_Panhandle_B1B_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/OK_Panhandle_2018_D18/OK_Panhandle_B1B_2018/spatial_metadata/USGS/USGS_OK_Panhandle_B1B_2018_Swath_Poly.shp
TN_WestTN_B3_2019,s3://prd-tnm/StagedProducts/Elevation/metadata/TN_WestTN_2019_B19/TN_WestTN_B3_2019/spatial_metadata/USGS/USGS_TN_WestTN_B3_2019_Swath_Poly.shp
GA_Statewide_10_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_10_2018/spatial_metadata/USGS/USGS_GA_Statewide_10_2018_Swath_Poly.shp
GA_Statewide_12_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/GA_Statewide_2018_B18_DRRA/GA_Statewide_12_2018/spatial_metadata/USGS/USGS_GA_Statewide_12_2018_Swath_Poly.shp
MO_WestCentral_2_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/MO_WestCentral_2018_D19/MO_WestCentral_2_2018/spatial_metadata/USGS/USGS_MO_WestCentral_2_Swath_Poly.shp
KY_Eastern_B1_2019,s3://prd-tnm/StagedProducts/Elevation/metadata/KY_Eastern_2019_A19/KY_Eastern_B1_2019/spatial_metadata/USGS/KY_Eastern_B1_2019_Swath_Poly.shp
OK_Panhandle_B1C_2018,s3://prd-tnm/StagedProducts/Elevation/metadata/OK_Panhandle_2018_D18/OK_Panhandle_B1C_2018/spatial_metadata/USGS/USGS_OK_Panhandle_B1C_2018_Swath_Poly.shp
KY_Eastern_B2_2019,s3://prd-tnm/StagedProducts/Elevation/metadata/KY_Eastern_2019_A19/KY_Eastern_B2_2019/spatial_metadata/USGS/USGS_KY_Eastern_B2_2019_Swath_Poly.shp
